crop_types,B2,B2_median,B2_mean
1,742.0,862.0,824.1220472440945
1,774.0,862.0,824.1220472440945
1,826.0,862.0,824.1220472440945
1,765.0,862.0,824.1220472440945
1,789.0,862.0,824.1220472440945
1,815.0,862.0,824.1220472440945
1,863.0,862.0,824.1220472440945
1,865.0,862.0,824.1220472440945
1,864.0,862.0,824.1220472440945
1,861.0,862.0,824.1220472440945
1,550.0,862.0,824.1220472440945
1,626.0,862.0,824.1220472440945
1,802.0,862.0,824.1220472440945
1,839.0,862.0,824.1220472440945
1,944.0,862.0,824.1220472440945
1,916.0,862.0,824.1220472440945
1,947.0,862.0,824.1220472440945
1,908.0,862.0,824.1220472440945
1,873.0,862.0,824.1220472440945
1,920.0,862.0,824.1220472440945
1,899.0,862.0,824.1220472440945
1,525.0,862.0,824.1220472440945
1,646.0,862.0,824.1220472440945
1,790.0,862.0,824.1220472440945
1,853.0,862.0,824.1220472440945
1,898.0,862.0,824.1220472440945
1,878.0,862.0,824.1220472440945
1,902.0,862.0,824.1220472440945
1,899.0,862.0,824.1220472440945
1,864.0,862.0,824.1220472440945
1,921.0,862.0,824.1220472440945
1,908.0,862.0,824.1220472440945
1,860.0,862.0,824.1220472440945
1,539.0,862.0,824.1220472440945
1,626.0,862.0,824.1220472440945
1,804.0,862.0,824.1220472440945
1,840.0,862.0,824.1220472440945
1,836.0,862.0,824.1220472440945
1,809.0,862.0,824.1220472440945
1,868.0,862.0,824.1220472440945
1,894.0,862.0,824.1220472440945
1,855.0,862.0,824.1220472440945
1,905.0,862.0,824.1220472440945
1,900.0,862.0,824.1220472440945
1,883.0,862.0,824.1220472440945
1,527.0,862.0,824.1220472440945
1,645.0,862.0,824.1220472440945
1,783.0,862.0,824.1220472440945
1,810.0,862.0,824.1220472440945
1,791.0,862.0,824.1220472440945
1,773.0,862.0,824.1220472440945
1,851.0,862.0,824.1220472440945
1,885.0,862.0,824.1220472440945
1,859.0,862.0,824.1220472440945
1,845.0,862.0,824.1220472440945
1,851.0,862.0,824.1220472440945
1,861.0,862.0,824.1220472440945
1,512.0,862.0,824.1220472440945
1,614.0,862.0,824.1220472440945
1,688.0,862.0,824.1220472440945
1,759.0,862.0,824.1220472440945
1,835.0,862.0,824.1220472440945
1,819.0,862.0,824.1220472440945
1,835.0,862.0,824.1220472440945
1,870.0,862.0,824.1220472440945
1,914.0,862.0,824.1220472440945
1,903.0,862.0,824.1220472440945
1,868.0,862.0,824.1220472440945
1,846.0,862.0,824.1220472440945
1,848.0,862.0,824.1220472440945
1,836.0,862.0,824.1220472440945
1,495.0,862.0,824.1220472440945
1,635.0,862.0,824.1220472440945
1,768.0,862.0,824.1220472440945
1,770.0,862.0,824.1220472440945
1,832.0,862.0,824.1220472440945
1,844.0,862.0,824.1220472440945
1,892.0,862.0,824.1220472440945
1,854.0,862.0,824.1220472440945
1,894.0,862.0,824.1220472440945
1,933.0,862.0,824.1220472440945
1,826.0,862.0,824.1220472440945
1,838.0,862.0,824.1220472440945
1,869.0,862.0,824.1220472440945
1,904.0,862.0,824.1220472440945
1,454.0,862.0,824.1220472440945
1,595.0,862.0,824.1220472440945
1,806.0,862.0,824.1220472440945
1,790.0,862.0,824.1220472440945
1,819.0,862.0,824.1220472440945
1,836.0,862.0,824.1220472440945
1,839.0,862.0,824.1220472440945
1,787.0,862.0,824.1220472440945
1,865.0,862.0,824.1220472440945
1,913.0,862.0,824.1220472440945
1,850.0,862.0,824.1220472440945
1,865.0,862.0,824.1220472440945
1,899.0,862.0,824.1220472440945
1,955.0,862.0,824.1220472440945
1,482.0,862.0,824.1220472440945
1,569.0,862.0,824.1220472440945
1,774.0,862.0,824.1220472440945
1,769.0,862.0,824.1220472440945
1,849.0,862.0,824.1220472440945
1,893.0,862.0,824.1220472440945
1,837.0,862.0,824.1220472440945
1,842.0,862.0,824.1220472440945
1,864.0,862.0,824.1220472440945
1,906.0,862.0,824.1220472440945
1,883.0,862.0,824.1220472440945
1,859.0,862.0,824.1220472440945
1,909.0,862.0,824.1220472440945
1,885.0,862.0,824.1220472440945
1,592.0,862.0,824.1220472440945
1,617.0,862.0,824.1220472440945
1,589.0,862.0,824.1220472440945
1,750.0,862.0,824.1220472440945
1,764.0,862.0,824.1220472440945
1,886.0,862.0,824.1220472440945
1,932.0,862.0,824.1220472440945
1,861.0,862.0,824.1220472440945
1,858.0,862.0,824.1220472440945
1,950.0,862.0,824.1220472440945
1,948.0,862.0,824.1220472440945
1,903.0,862.0,824.1220472440945
1,877.0,862.0,824.1220472440945
1,875.0,862.0,824.1220472440945
1,859.0,862.0,824.1220472440945
1,900.0,862.0,824.1220472440945
1,737.0,862.0,824.1220472440945
1,728.0,862.0,824.1220472440945
1,863.0,862.0,824.1220472440945
1,864.0,862.0,824.1220472440945
1,884.0,862.0,824.1220472440945
1,906.0,862.0,824.1220472440945
1,867.0,862.0,824.1220472440945
1,896.0,862.0,824.1220472440945
1,937.0,862.0,824.1220472440945
1,959.0,862.0,824.1220472440945
1,970.0,862.0,824.1220472440945
1,907.0,862.0,824.1220472440945
1,878.0,862.0,824.1220472440945
1,934.0,862.0,824.1220472440945
1,971.0,862.0,824.1220472440945
1,840.0,862.0,824.1220472440945
1,845.0,862.0,824.1220472440945
1,881.0,862.0,824.1220472440945
1,939.0,862.0,824.1220472440945
1,947.0,862.0,824.1220472440945
1,922.0,862.0,824.1220472440945
1,893.0,862.0,824.1220472440945
1,897.0,862.0,824.1220472440945
1,910.0,862.0,824.1220472440945
1,978.0,862.0,824.1220472440945
1,979.0,862.0,824.1220472440945
1,936.0,862.0,824.1220472440945
1,897.0,862.0,824.1220472440945
1,917.0,862.0,824.1220472440945
1,927.0,862.0,824.1220472440945
1,857.0,862.0,824.1220472440945
1,872.0,862.0,824.1220472440945
1,921.0,862.0,824.1220472440945
1,953.0,862.0,824.1220472440945
1,908.0,862.0,824.1220472440945
1,908.0,862.0,824.1220472440945
1,911.0,862.0,824.1220472440945
1,886.0,862.0,824.1220472440945
1,946.0,862.0,824.1220472440945
1,940.0,862.0,824.1220472440945
1,926.0,862.0,824.1220472440945
1,882.0,862.0,824.1220472440945
1,848.0,862.0,824.1220472440945
1,912.0,862.0,824.1220472440945
1,865.0,862.0,824.1220472440945
1,895.0,862.0,824.1220472440945
1,945.0,862.0,824.1220472440945
1,959.0,862.0,824.1220472440945
1,941.0,862.0,824.1220472440945
1,908.0,862.0,824.1220472440945
1,914.0,862.0,824.1220472440945
1,901.0,862.0,824.1220472440945
1,895.0,862.0,824.1220472440945
1,884.0,862.0,824.1220472440945
1,901.0,862.0,824.1220472440945
1,948.0,862.0,824.1220472440945
1,888.0,862.0,824.1220472440945
1,872.0,862.0,824.1220472440945
1,921.0,862.0,824.1220472440945
1,887.0,862.0,824.1220472440945
1,956.0,862.0,824.1220472440945
1,979.0,862.0,824.1220472440945
1,943.0,862.0,824.1220472440945
1,914.0,862.0,824.1220472440945
1,892.0,862.0,824.1220472440945
1,903.0,862.0,824.1220472440945
1,883.0,862.0,824.1220472440945
1,906.0,862.0,824.1220472440945
1,906.0,862.0,824.1220472440945
1,914.0,862.0,824.1220472440945
1,910.0,862.0,824.1220472440945
