crop_types,B2,B2_median,B2_mean
1,847.0,862.0,824.1220472440945
1,820.0,862.0,824.1220472440945
1,815.0,862.0,824.1220472440945
1,815.0,862.0,824.1220472440945
1,925.0,862.0,824.1220472440945
1,917.0,862.0,824.1220472440945
1,882.0,862.0,824.1220472440945
1,865.0,862.0,824.1220472440945
1,898.0,862.0,824.1220472440945
1,894.0,862.0,824.1220472440945
1,871.0,862.0,824.1220472440945
1,873.0,862.0,824.1220472440945
1,881.0,862.0,824.1220472440945
1,784.0,862.0,824.1220472440945
1,718.0,862.0,824.1220472440945
1,700.0,862.0,824.1220472440945
1,686.0,862.0,824.1220472440945
1,751.0,862.0,824.1220472440945
1,830.0,862.0,824.1220472440945
1,834.0,862.0,824.1220472440945
1,942.0,862.0,824.1220472440945
1,878.0,862.0,824.1220472440945
1,794.0,862.0,824.1220472440945
1,806.0,862.0,824.1220472440945
1,783.0,862.0,824.1220472440945
1,760.0,862.0,824.1220472440945
1,743.0,862.0,824.1220472440945
1,727.0,862.0,824.1220472440945
1,685.0,862.0,824.1220472440945
1,643.0,862.0,824.1220472440945
1,658.0,862.0,824.1220472440945
1,680.0,862.0,824.1220472440945
1,715.0,862.0,824.1220472440945
1,837.0,862.0,824.1220472440945
1,740.0,862.0,824.1220472440945
1,610.0,862.0,824.1220472440945
1,610.0,862.0,824.1220472440945
1,647.0,862.0,824.1220472440945
1,649.0,862.0,824.1220472440945
1,685.0,862.0,824.1220472440945
1,669.0,862.0,824.1220472440945
1,696.0,862.0,824.1220472440945
1,646.0,862.0,824.1220472440945
1,726.0,862.0,824.1220472440945
1,611.0,862.0,824.1220472440945
1,533.0,862.0,824.1220472440945
1,525.0,862.0,824.1220472440945
1,615.0,862.0,824.1220472440945
1,614.0,862.0,824.1220472440945
1,695.0,862.0,824.1220472440945
1,765.0,862.0,824.1220472440945
1,679.0,862.0,824.1220472440945
1,591.0,862.0,824.1220472440945
1,627.0,862.0,824.1220472440945
